Model,Train Loss,Validation Loss
L27_E12_10_B10_D16_18,0.011374913156032562,0.012238913215696812
L27_E12_10_B10_D18_20,0.011888029053807259,0.013146758079528809
L27_E12_10_B10_D20_22,0.016579842194914818,0.01792818121612072
L27_E14_12_B10_D8_10,0.016349010169506073,0.01769462786614895
L27_E14_12_B10_D10_12,0.012417033314704895,0.01349391508847475
L27_E14_12_B10_D12_14,0.012389902025461197,0.013433745130896568
L27_E14_12_B10_D14_16,0.012620875611901283,0.01341497153043747
L27_E14_12_B10_D16_18,0.008926229551434517,0.00955972634255886
L27_E14_12_B10_D18_20,0.013558581471443176,0.01449514552950859
L27_E14_12_B10_D20_22,0.011975957080721855,0.013323741033673286
L27_E16_14_B10_D8_10,0.01489277370274067,0.01554685365408659
L27_E16_14_B10_D10_12,0.015824507921934128,0.016475653275847435
L27_E16_14_B10_D12_14,0.016994120553135872,0.018214214593172073
L27_E16_14_B10_D14_16,0.012071202509105206,0.013274732045829296
L27_E16_14_B10_D16_18,0.01182669959962368,0.012884221039712429
L27_E16_14_B10_D18_20,0.011514387093484402,0.012909836135804653
L27_E16_14_B10_D20_22,0.008794710971415043,0.009832542389631271
L27_E18_16_B10_D8_10,0.019543707370758057,0.020422296598553658
L27_E18_16_B10_D10_12,0.014566325582563877,0.015611808747053146
L27_E18_16_B10_D12_14,0.01216587983071804,0.013258900493383408
L27_E18_16_B10_D14_16,0.012085014954209328,0.013333167880773544
L27_E18_16_B10_D16_18,0.012098411098122597,0.01298434380441904
L27_E18_16_B10_D18_20,0.010159727185964584,0.011400853283703327
L27_E18_16_B10_D20_22,0.01208312064409256,0.013432145118713379
L27_E20_18_B10_D8_10,0.014446001499891281,0.015440838411450386
L27_E20_18_B10_D10_12,0.012203133665025234,0.013353702612221241
L27_E20_18_B10_D12_14,0.014119944535195827,0.015166950412094593
L27_E20_18_B10_D14_16,0.018777312710881233,0.020195286720991135
L27_E20_18_B10_D16_18,0.01230134442448616,0.01370285265147686
L27_E20_18_B10_D18_20,0.008694684132933617,0.009665148332715034
L27_E20_18_B10_D20_22,0.009465574286878109,0.010693044401705265
L27_E22_20_B10_D8_10,0.01249538455158472,0.01419017557054758
L27_E22_20_B10_D10_12,0.010217995382845402,0.01136272493749857
L27_E22_20_B10_D12_14,0.01047824788838625,0.011967449449002743
L27_E22_20_B10_D14_16,0.01427244208753109,0.015338095836341381
L27_E22_20_B10_D16_18,0.011090746149420738,0.012319337576627731
L27_E22_20_B10_D18_20,0.010173137299716473,0.011669538915157318
L27_E22_20_B10_D20_22,0.011720503680408001,0.01300034113228321
L27_E10_8_B12_D8_10,0.017187442630529404,0.01800585351884365
L27_E10_8_B12_D10_12,0.01695161499083042,0.018062513321638107
L27_E10_8_B12_D12_14,0.014980212785303593,0.015943527221679688
L27_E10_8_B12_D14_16,0.014063027687370777,0.015340584330260754
L27_E10_8_B12_D16_18,0.015458133071660995,0.016419820487499237
L27_E10_8_B12_D18_20,0.01585254818201065,0.01712082326412201
L27_E10_8_B12_D20_22,0.01428934931755066,0.015546348877251148
L27_E12_10_B12_D8_10,0.01653800904750824,0.017520152032375336
L27_E12_10_B12_D10_12,0.015996858477592468,0.017309121787548065
L27_E12_10_B12_D12_14,0.018600521609187126,0.01958444155752659
L27_E12_10_B12_D14_16,0.012184473685920238,0.013600832782685757
L27_E12_10_B12_D16_18,0.013061828911304474,0.014115030877292156
L27_E12_10_B12_D18_20,0.011896924115717411,0.012855607084929943
L27_E12_10_B12_D20_22,0.01034261379390955,0.011238965205848217
L27_E14_12_B12_D8_10,0.014623920433223248,0.015508330427110195
L27_E14_12_B12_D10_12,0.012375221587717533,0.013799135573208332
L27_E14_12_B12_D12_14,0.012408477254211903,0.01309292297810316
L27_E14_12_B12_D14_16,0.014008822850883007,0.015333673916757107
L27_E14_12_B12_D16_18,0.01089401450008154,0.01200548093765974
L27_E14_12_B12_D18_20,0.010180332697927952,0.011559748090803623
L27_E14_12_B12_D20_22,0.011683432385325432,0.012776913121342659
L27_E16_14_B12_D8_10,0.016861341893672943,0.017912883311510086
L27_E16_14_B12_D10_12,0.016027987003326416,0.016842953860759735
L27_E16_14_B12_D12_14,0.009831120260059834,0.010723655112087727
L27_E16_14_B12_D14_16,0.010305454023182392,0.01159900426864624
L27_E16_14_B12_D16_18,0.011751157231628895,0.012645360082387924
L27_E16_14_B12_D18_20,0.008166058920323849,0.008988128043711185
L27_E16_14_B12_D20_22,0.009882151149213314,0.01128759328275919
L27_E18_16_B12_D8_10,0.014586127363145351,0.015528136864304543
L27_E18_16_B12_D10_12,0.010753338225185871,0.011883311904966831
L27_E18_16_B12_D12_14,0.012139584869146347,0.013240181840956211
L27_E18_16_B12_D14_16,0.010397139005362988,0.011318368837237358
L27_E18_16_B12_D16_18,0.009260738268494606,0.010373704135417938
L27_E18_16_B12_D18_20,0.009098812937736511,0.009881163015961647
L27_E18_16_B12_D20_22,0.010938545688986778,0.012454158626496792
L27_E20_18_B12_D8_10,0.019395602867007256,0.020384090021252632
L27_E20_18_B12_D10_12,0.013470407575368881,0.014411506243050098
L27_E20_18_B12_D12_14,0.012129202485084534,0.013508351519703865
L27_E20_18_B12_D14_16,0.010927869006991386,0.011589744128286839
