Model,Train Loss,Validation Loss
L27_E10_8_B12_D14_16_18_20,0.016336549073457718,0.01803448051214218
L27_E10_8_B12_D16_18_20_22,0.013561094179749489,0.01492047868669033
L27_E10_8_B12_D18_20_22_24,0.016133004799485207,0.017535507678985596
L27_E12_10_B12_D6_8_10_12,0.019246410578489304,0.020299049094319344
L27_E12_10_B12_D8_10_12_14,0.01811368390917778,0.01910633221268654
L27_E12_10_B12_D10_12_14_16,0.014877526089549065,0.01616525463759899
L27_E12_10_B12_D12_14_16_18,0.01687113754451275,0.018395092338323593
L27_E12_10_B12_D14_16_18_20,0.014010600745677948,0.015480774454772472
L27_E12_10_B12_D16_18_20_22,0.01384872104972601,0.015510994009673595
L27_E12_10_B12_D18_20_22_24,0.013579433783888817,0.015053289011120796
L27_E14_12_B12_D6_8_10_12,0.019430726766586304,0.02060783840715885
L27_E14_12_B12_D8_10_12_14,0.018948178738355637,0.019835060462355614
L27_E14_12_B12_D10_12_14_16,0.019110942259430885,0.019996635615825653
L27_E14_12_B12_D12_14_16_18,0.014247426763176918,0.015451771207153797
L27_E14_12_B12_D14_16_18_20,0.012921408750116825,0.014355581253767014
L27_E14_12_B12_D16_18_20_22,0.011898884549736977,0.01313992589712143
L27_E14_12_B12_D18_20_22_24,0.011632416397333145,0.012715627439320087
L27_E16_14_B12_D6_8_10_12,0.019470855593681335,0.020272497087717056
L27_E16_14_B12_D8_10_12_14,0.014903571456670761,0.016192762181162834
L27_E16_14_B12_D10_12_14_16,0.01722962036728859,0.018587268888950348
L27_E16_14_B12_D12_14_16_18,0.019097857177257538,0.020051654428243637
L27_E16_14_B12_D14_16_18_20,0.013398154638707638,0.014900816604495049
L27_E16_14_B12_D16_18_20_22,0.015570225194096565,0.017292648553848267
L27_E16_14_B12_D18_20_22_24,0.011690272949635983,0.012691010721027851
L27_E18_16_B12_D6_8_10_12,0.021107234060764313,0.02333749085664749
L27_E18_16_B12_D8_10_12_14,0.016131175681948662,0.01746426522731781
L27_E18_16_B12_D10_12_14_16,0.013739537447690964,0.014976873062551022
L27_E18_16_B12_D12_14_16_18,0.01380058005452156,0.014911338686943054
